>AA|ECRITURE IMMO|19 430 336 301,00|19 430 336 301,00
16884945|Int/Emp.BEI 11/2008|829 926 003,00|14 106 666,50
23199999|cpte Technique IMMO|2 812 193,50|10 651 933,50
32110000|Stoc.Chlor.et sels|0,00|148 905,00
32210000|Stoc.Prod.pétrol.Sec|112 004,00|979 593,50
40111000|Fournisseurs|2 359 945 888,50|19 970 360 765,50
40810000|FAR Charges HG|3 557 732 397,00|63 869 230,50
40810100|FAR Charges Groupe|1 602 592 703,00|9 342 617,00
40841110|FAR Immos HG|2 749 337 674,50|59 826 248,50
40841120|FAR Immos Groupe|4 411 562 375,00|47 014 777,50
42611000|Plan d'Epargne|33 431 106,50|0,00
42841000|Prov.participat.Sal.|420 913,00|27 510,00
42842000|Intéressement .Sal.|25 111,50|0,00
43111000|URSSAF (Sté.Sle.)|627 688 608,00|776 750,50
43711000|REUNICA|84 783 497,50|0,00
43731000|PREVOYANCE COURCELLE|42 211 306,00|0,00
43741100|C.F.E.|713 643,00|0,00
43781000|ANCV Chèq.Vacances|2 460 850,00|0,00
43824000|Charges Sles.s/Cats|238 509,00|0,00
43863000|Ch.à Pay.Eff.Constr.|14 843 350,00|0,00
44521000|TVA due intraco|527 226,00|4 639,50
44562000|TVA s/enc. s/Immo 19|246 023 842,50|9 286 424,50
44562002|TVA s/enc.s/Immo 20%|1 080 066 393,00|11 122 512,50
44562010|TVA dbt s/immo. 10%|2 600,00|0,00
44562015|TVA s/enc.s/Immo 5.5|1 657,00|0,00
44562020|TVA s/immo.19,60%|11 349 535,50|0,00
44562022|TVA DEBITs/immo.20%|51 525 490,00|54 530,00
44566002|TVA Biens/Serv.(2,10|37 897,50|719,00
44566005|TVA Biens/Serv.(5,50|888 614,50|9 026,50
44566007|TVA Biens/Serv.(7%)|111 527,00|13 736,00
44566010|TVA Biens/Serv.(10%)|880 892,50|87,00
44566019|TVA Biens/Serv.(19,6|42 130 960,50|248 479,50
44566020|TVA DED DEBIT B&S20%|88 117 442,50|693 422,50
44566080|TVA  GAZOLE 80%.|1 501 359,00|298 124,50
44566082|TVA  20%GAZOLE 80%.|2 784 160,00|2 841,50
44566100|TVA S/enc. 19,60%.|127 525 560,00|2 563 429,00
44566105|TVA S/enc. 5.50%.|196 639,00|436,50
44566107|TVA S/enc. 7%.|675 942,50|203 237,00
44566110|TVA S/enc. 10%|3 542 864,00|117 868,50
44566120|TVA S/ENC. B & S 20%|679 997 150,50|7 434 818,00
44571000|TVA COLLECT.intra|4 639,50|527 226,00
44732600|Taxe TLE|147 200,00|0,00
45101000|Cofiroute participat|239 580,00|0,00
45102000|S.P.T.F.|200 414,00|0,00
46709400|UNEDIC - CATS|50 319 835,00|0,00
46751200|Créditeurs Dvs BQUES|15 575 416,50|3 498 542 267,00
60212000|Chlorure sodium sol.|0,00|148 905,00
60221000|Prod.pétroliers Sect|112 004,00|979 593,50
60322000|Vt.Stk.Chlo. sodium|148 905,00|0,00
60322200|Vt.Stk.Pr..pétrolier|979 593,50|112 004,00
60611000|Eau|899 677,50|760 260,50
60612000|Electricité|7 622 135,00|6 875 579,00
60613000|Autres énergies|94,00|496,00
60621000|Carburants non stock|2 434,00|223 104,50
60621800|GAZOLE NS/ TVA 80%|454 606,00|407 139,00
60631000|Pièc.Rech.Mat.Roult.|50 025,50|123 465,00
60631100|Pièc.Rech.Mat.Péage|145,50|0,00
60631200|Pièc.Rech.Mat.Electr|23 210,00|1 942,50
60631900|Autr.Pièc.Rechange|34 618,50|17 662,50
60632000|Petit outil.atel.V-S|22 799,50|5 507,50
60633000|Sign.Sécurit.Viabil.|9 282,00|10 880,00
60633500|Sign.verticale.temp.|1 697,00|0,00
60634000|Fourniture entretien|79 399,50|191 182,00
60635000|Vêtement trav.n.stoc|40 281,50|19 213,00
60636000|Fourniture bâtiment|65 032,50|68 339,50
60638000|TICKETS DE PEAGE|0,00|2 160,00
60638100|CERT. DE PASSAGE|4 837,50|0,00
60638300|Ptes four.péage|15 469,00|445,50
60641000|Papier repro|32 727,50|7 518,50
60642000|Fourniture hs.papier|5 594,50|137 315,00
60643000|Mat.Mob.Bur.pet.val.|3 475,00|5 872,00
60644000|Consom.informatiqu.|8 260,50|15 274,00
60644200|Cartes cir -supp abt|13 743,50|6 503,00
61321000|Loyers immeuble|12 918,50|12 918,50
61351000|Locat.véhicules|15 935,00|117 446,50
61351200|Locat.véhicules -LLD|51 533,50|1 616 689,50
61351300|Véhicules Servic-LLD|269 179,50|467 491,50
61352000|Locat.mat.exploitat.|866,00|13 230,00
61353000|Locat.entr.photocop.|66 121,00|130 646,00
61355000|Autr.locat.mat.bur.|0,00|12 428,00
61512000|Entr.court.chaus.ter|199 855,00|360 209,50
61512110|Entr.court.réseau hy|1 340,00|180,00
61512120|Entr.court.ouv.trave|116 850,00|181 041,00
61512200|Entr.court.ouvr.art|15 340,00|232 485,00
61513200|Contr.suiv.ouvr.d'ar|0,00|1,00
61514100|Mis.plac.sign.ch.pro|0,00|5 850,00
61515000|Entr.sign.horizont.|3 286,50|851,50
61515100|Entr.sign.vert.perm.|0,00|0,50
61515300|Entr.des glissières|776,50|5 448,00
61515400|Entr.superstruc.gare|319,00|9 076,00
61515500|Entr.clôture portail|0,00|2 400,00
61515600|Entr.éclairag.public|2 744,00|0,00
61515800|Entr.végétation|7 511,50|113 591,50
61515900|Nettoy.court.locaux|41 492,50|21 887,50
61515930|Nettoy.ct.voie péage|2 659,50|9 046,00
61515950|Nettoy. Environmnt.|214,50|25 436,50
61515960|Déchets des aires|26 630,50|138 105,00
61521000|Entr.constructions|6 802,50|68 415,00
61522000|Entr.stat.traitem.ea|3 280,00|123 417,00
61551000|Entr.mat.péage|750,00|12 600,00
61551100|Entr.mat.viab.sécur.|54 218,00|63 542,00
61551200|Entr.mat.rés.transmi|4 630 646,00|580 382,50
61551300|Entr.équipt éléctriq|1 267,00|320,50
61551500|Entr. Mat. ventilat°|152,50|1,50
61555000|Entr.VL|0,50|7 333,50
61555020|Entretien V.L. -LLD|66 732,50|68 885,50
61555100|Entr.Utilitaire|1 808,00|16 853,50
61555200|Entr.PL/SPL|20 067,50|130 541,50
61561000|Mainten.logiciels|800 000,00|800 000,00
61565000|Autr.entr.maintenan.|1 889,00|42 783,50
61811000|Abonnements/Périod.|109 793,50|34 944,50
62111000|Personnel intérimair|7,50|73 860,00
62261000|Etudes générales|325 817,50|105 776,00
62261200|Contrat assistance|161,00|21 315,00
62261300|Assist.viabil.hivern|0,00|1 520 207,00
62261500|Cont.APAVE Aut.as.lg|737,50|32 283,00
62261700|Assistance SDIS|1 691,00|24 955,50
62262000|Honoraires|3 224 320,00|1 797 893,50
62371000|Pub.publi.relat.publ|213 542,00|405 743,00
62372000|Audiovisuel|250,00|0,00
62421000|Transpt.Ramas.recet.|763,50|23 209,00
62481000|Transport de Biens|819,00|1 419,50
62511000|Frs.déplacts.facturé|3 892,00|13 476,00
62555100|Frs.de déménagement|147,00|0,00
62562100|Miss.:Repas-facturé|19 526,00|67 955,00
62562200|Miss.:Hôtel-facturé|26 208,00|20 230,00
62562300|Miss.:Divers-facturé|52 724,00|289 630,50
62571000|Récept.Repas facturé|19 615,50|92 882,50
62572000|Récept.Hôtel facturé|0,00|236,00
62573000|Récept.Diver facturé|23,00|575,00
62611000|Achat timbres|54 551,50|59 502,50
62611100|Mach.à affranchir|27 711,50|172 364,00
62621000|Contr.téléph.portabl|104 712,00|141 926,00
62621100|Contr.téléph.fixe|31 993,50|436 178,00
62724000|Serv.crédit syndiqué|500 000,00|0,00
62781000|Commis.cartes bleues|751 980,50|0,00
62781100|Commis.carte accréd.|2 643 333,00|23 197,00
62781200|Commis.TIS- PL|2 475 995,50|81 409,00
62784000|Commis./ chèq.vacanc|4 719 292,00|0,00
62784100|Com. Sogeplan-Castor|5 283 530,00|0,00
62786000|Commis. Cats|56 837,00|0,00
62788100|Commis. Part. Libert|148 948 847,50|0,00
62811000|Divers.façons extern|61 532,50|29 575,50
63513000|Redev.Domaniales|4 283 572 000,00|2 141 786 000,00
63542000|Autr.taxe/véhicules|1 063,00|400,00
63581000|Autres droits|0,50|0,00
64711000|Abondement|342 266,00|0,00
64721000|Subv.comité entrepr.|7 295 150,00|0,00
64751000|Assistance médicale|5 138,00|53 273,50
64812000|F.P.REPAAEX|875,00|850,00
64813000|F.P.REPASTA|14 656,50|24 013,50
64813100|F.P.HOTESTA|554,50|1 834,50
64814000|F.P.FRAISDV|12 612,50|14 997,50
64814800|F.P.DEPLSTA|216,50|7 159,00
64815100|F.P.INSCAEX|22 344,00|65 342,00
64815200|F.P.REAPEDA|0,00|55,00
64821000|Restau.d'entreprise|13 641,00|289 783,00
64822000|Tickets restaurant|2 000,00|754 350,00
64871000|Oeuv.Sles. Diverses|4 865,50|22 408,00
65811100|Charges div.gest.cou|1 705 342,50|520 939,00
67121000|Pénal.amende fiscale|686 067,50|0,00
70611100|Péages Recet.CPC-NRP|387 541,50|387 541,50
75851200|Recettes Dvs.|387 541,50|387 541,50
>RV|FACT. CLIENT SD|3 086 754 206,50|3 086 754 206,50
13111000|Sub. d'equipement|0,00|140 396 315,00
13112000|Sub. d'equipement EC|0,00|151 154 063,50
41115000|Clients Autres|2 807 711 907,50|277 273 143,00
44571022|TVA coll.s/enc. 7,00|21 420,00|151 597,50
44571023|TVA coll.s/enc. 10 %|0,00|537 680,50
44571029|TVA coll.s/enc. 19,6|1 114 888,50|63 159 622,00
44571131|TVA coll.s/enc. 20%|23 174 183,00|323 440 962,00
70651100|Péages réquisit.|295 971,50|382 345,50
75111000|Redev.Carburants|6 435 183,50|211 092 483,00
75111100|Redev.Boutiques, DA|4 817 245,50|140 924 989,50
75111200|Redev.Restauration|809 829,50|192 609 616,00
75111300|Redev. Hôtels|331 150,00|1 918 692,00
75821000|Rbts./ Sinistres|0,00|427 963,00
75831100|Ingenierie/Etud.|32 992 881,50|62 876 383,50
75831200|Redv. R.  Telecom|50 884,00|176 432 674,00
75851200|Recettes Dvs.|134 221 588,00|247 090 267,00
75851300|PDTS refacturations|73 113 655,50|919 049 233,00
75851400|PDTS refact° PERSL|1 633 418,50|73 772 296,00
75862000|Recettes Part. Liber|0,00|101 353 880,50
77181000|Prod.Excep./ Opér.G.|30 000,00|2 710 000,00
>SA|Pièce compte général|64 026 137 871,50|64 026 137 871,50
16415100|Emp.BEI DEC. 2002|166 666 666,50|0,00
16415400|Emp.BEI DEC 2005|562 705 709,50|0,00
16415600|Emp.BEI JUIN 2007|656 250 000,00|0,00
16752000|Créanc.Collec.Locale|31 823 732,50|0,00
16884912|Int/SWAP-10/01-12330|46 518 125,00|402 409 166,50
16884920|Int/Emp.BEI 03/2002|8 336 429,50|2 941 069,00
16884930|Int/Emp.BEI 12/2002|7 550 439,50|3 236 818,00
16884939|Int/SWAP.BEI 03/2003|8 011 666,50|0,00
16884941|Int/Emp.BEI 12/2004|15 691 111,00|0,00
16884942|Int/Emp.BEI 12/2005|0,00|562 705 709,50
16884944|Int/Emp.BEI 06/2007|459 900 000,00|0,00
16884952|Int/SWAP-04/03-BNP|0,00|1 025 225 000,00
16884954|Int/SWAP-04/03-CLY31|439 450 000,00|48 882 777,50
16884955|Int/SWAP-04/03-BNP75|439 425 000,00|0,00
16884956|Int/SWAP-04/03-NAT8N|427 900 000,00|41 257 778,00
16884959|Int/SWAP Avril 2010|222 760 417,00|674 015 000,00
16887470|Int/Emp.FCP 04/2009|0,00|5 206 900,00
16887485|Int/Emp.FCP 05/2011|2 497 500,00|0,00
16887486|Int/Emp.FCP 05/2012|5 162 750,00|0,00
23199999|cpte Technique IMMO|472 146 587,50|4 167 063,00
27511000|Dép.Cau.Loy.avance|0,00|801 250,00
40111000|Fournisseurs|1 327 717,00|862 297 486,00
41111000|Clients Abonnés|7 580,50|12 342 508,50
41111100|Clients  TIS-PL|0,00|9 546 119 148,50
41112000|Clts Abt Contentieux|0,00|94 890,00
41113100|Dépôt  Cautions clés|50 000,00|0,00
41115000|Clients Autres|0,00|1 854 905 476,50
41611000|Clts.Douteux Abonnés|0,00|35 842,50
42111000|Rémunérations dues|634 756 457,00|0,00
42525100|Indemnités IJSS|0,00|20 624 678,50
42841000|Prov.participat.Sal.|27 598 816,00|0,00
42842000|Intéressement .Sal.|3 600 000,00|0,00
43111000|URSSAF (Sté.Sle.)|538 166 000,00|31 623 816,00
43711000|REUNICA|105 760 161,00|0,00
43731000|PREVOYANCE COURCELLE|43 547 897,00|0,00
43824000|Charges Sles.s/Cats|1 243 484,00|980 036,00
44412000|CH.A PAYER IS|0,00|18 460 600,00
44415000|Impôt s/Bénéfices|9 906 287 800,00|0,00
44566020|TVA DED DEBIT B&S20%|231 534,50|21 854,50
44571018|TVA coll.19,60 Péag.|418 093,50|471 301,50
44571120|TVA coll.dbt 20%Péag|35 278,50|2 447 459,00
44571130|TVA coll.s/enc 20%|0,00|228 333,00
44732000|Taxe Prof./CET|1 339 767 200,00|46 983 000,00
44861000|Etat : TVA à payer|3 252 443 346,50|0,00
45108000|CC Vinci Autoroutes|202 881 163,00|10 000 000 000,00
46702777|Clients Partages|0,00|957 067 804,00
46703400|Liber'T-Transv.Poit|0,00|1 023 571,00
46703500|Liber'T-Trans.Rétro.|2 133 130,00|9 244 796,00
46704977|Clients Rétrocession|0,00|12 553 229 607,50
46709400|UNEDIC - CATS|7 720 157,00|26 256 692,50
46861100|Charges à payer -|425 000,00|0,00
47511100|Divers assurance|0,00|42 770 764,50
48802000|C.  attente foncier|0,00|467 979 524,50
50811200|COMPTE DEPOT A T. IG|10 000 000 000,00|0,00
51110611|V.E.-Sté.Gén.Alençon|270 000,00|0,00
51110612|V.E.-Sté.Gén.Rennes|205 000,00|750,00
51110613|V.E.-Sté.Gén.Angers|147 000,00|750,00
51110621|V.E.-Sté.Gén.Bourges|1 147 000,00|0,00
51110670|V.E.-Sté.Gén.Le Mans|469 000,00|0,00
51110680|V.E.-Sté.Gén.Orléans|0,00|4 000,00
51110682|V.E.-Sté.Gén.Poitier|0,00|205 000,00
51110690|V.E.-Sté.Gén.Tours|0,00|1 000,00
51112899|SINISTRE|0,00|353 189,50
51120100|R.C.-BNP-PAR.Kléber|0,00|40 000,00
51125100|C.P.-BNP-PAR.Kléber|653 558,00|0,00
51125600|C.P.-S.G.Paris|15 317,00|0,00
51125712|CHQ PAYE BNP NANTES|7 350,00|0,00
51125750|CHQ PAYE BNP LE MANS|18 380,00|0,00
51125780|CHQ PAYE BNP ORLEANS|64 110,00|0,00
51125785|C.P.-S.G.Ramb.Accr.|52 314,00|0,00
51125790|CHQ PAYE BNP TOURS|28 084,50|0,00
51125791|CHQ PAYE BNP RUEIL|3 470,00|1 515,00
51131100|Pr.dom.-BNP Kléber|0,00|84 476,00
51131600|Pr.dom.-S.G. Paris|0,00|99 360,00
51140100|Vir.-BNP-PAR.Kléber|42 056 691,00|1 487 410 293,50
51140101|Vir.-BNP-PAR.Klé. RC|3 327 390,00|3 623 225,50
51140600|Vir.-S.G. Paris|5 789 479,00|2 063 753 409,00
51140601|Vir.-S.G. CIA|236 310,00|2 245 877 016,00
51140675|Vir.-S.G. Nantes|0,00|1 500,00
51146600|Tr.Etr.-S.G. Paris|1 046 498,00|633 699,00
51149600|Rjet.Vir.S.G. Paris|0,00|10 442,50
51196600|Télérégl-S.G. Paris|4 215,00|14 498 498 346,50
51211100|BNP Kléber|4 665 516 558,00|440 607 798,00
51211101|BNP Kléber -RC|5 604 263,50|1 806 837,50
51211102|BNP Montparnasse CB|5 301 475,00|5 556 595,00
51211210|CALYON|1 286 255 555,50|1 412 938 351,00
51211400|Crédit Mutuel Paris|109 792,00|1 435,50
51211600|Sociét.Gle.Paris|13 708 786 230,00|809 100,00
51211601|Sociét.Gle.Paris CIA|11 804 343 720,00|0,00
51211700|NBP|968 441 389,00|1 167 872 344,50
51212611|Sociét.Gale.Alençon|270 000,00|270 000,00
51212612|Sociét.Gale. Rennes|750,00|0,00
51212613|Sociét.Gale.Angers|147 750,00|147 000,00
51212621|Sociét.Gale.Bourges|847 000,00|847 000,00
51212670|Sociét.Gale.Le Mans|469 000,00|469 000,00
51212675|Sociét.Gale.Nantes|1 500,00|0,00
51212680|Sociét.Gale.Orléans|4 000,00|0,00
51212690|Sociét.Gale.Tours|1 000,00|0,00
51401000|CCP n°1173111 B 020|2 283 879,50|6 080,00
53600200|Recettes CB BNP|6 805,50|0,00
54003212|BNP Ancenis|0,00|5 065,00
54003250|BNP Le Mans|0,00|2 035,00
54003280|BNP Orléans|0,00|2 035,00
54003290|BNP Tours|0,00|9 017,50
54003291|BNP Reuil|147 900,50|8 547,50
58103000|Vrts.de fonds|1 403 076 452,50|1 226 032 230,00
62562300|Miss.:Divers-facturé|0,00|9 786,50
62721000|Serv.des emprunts|1 583,50|0,00
62781000|Commis.cartes bleues|643 730,50|219 038,00
62782000|Commis.sur cautions|908 080,50|0,00
62783000|Commis./ prélèvement|258 088,50|0,00
62783100|Commis./ mouvements|886 474,00|63 000,00
62785000|Commis./rejet préléV|47 047,50|0,00
62788000|Commis.diverses|1 444 032,50|2 024 292,00
63513000|Redev.Domaniales|0,00|47 317 650,00
63513100|Taxe Conces.Autor.|0,00|1 398 450,00
66116000|Int./ Emprunt|0,00|2 455 250,00
66151000|Agios/ Ct.Ct.|10 169,00|0,00
70611000|Péages Recet.collect|0,00|1 612,50
70611100|Péages Recet.CPC-NRP|175 216,00|4 742 369,50
70612100|Péages C.B. Rejets|1 196,00|1 196,00
75821000|Rbts./ Sinistres|485 817,50|527 711,00
75851200|Recettes Dvs.|0,00|932 568,00
76111000|Produits/ Participat|0,00|1 308 578,00
76712000|Pdt plct CashPool VA|70 617 361,00|108 901 863,00
76712100|Pdt plct cpte à T VA|0,00|70 617 361,00
76810000|Prod.Financiers/Déri|2 305 937,50|0,00
76811000|Autr.Prod.Financiers|0,00|1 570 980,00
>SB|ECRITURE CPTE GEN.|314 298 723 805,50|314 298 723 805,50
11001000|RAN (Créditeur)|0,00|8 765 263 852,50
11999999|RAN CPTES BILAN|15 441 522 672,50|0,00
12002000|Résutat exercice (B)|15 441 522 672,50|15 441 522 672,50
13111000|Sub. d'equipement|63 561 325,00|5 000 000,00
13112000|Sub. d'equipement EC|5 000 000,00|63 561 325,00
13917000|Amort Subv Eqpt ARCO|9 605 400,00|0,00
15181000|Prov.risques:Pers.|24 459 705,00|45 993 065,00
15182000|Prov.risq.retraites|72 117 288,00|0,00
15185000|Prov.risq.& char.Dvs|197 997 100,00|235 509 200,00
15721000|Prov.gross.réparat.|5 828 467 685,00|6 405 581 785,00
15721100|Prov.Rem. en Etat|30 099 399,00|5 229 000,00
16412900|Emp.Obl.Part à -1 an|189 000 000,00|126 000 000,00
16415000|Emp.BEI mars 2002|1 250 000 000,00|1 250 000 000,00
16415100|Emp.BEI DEC. 2002|833 333 450,00|833 333 500,00
16415400|Emp.BEI DEC 2005|2 835 839 800,00|2 813 528 500,00
16415500|Emp.BEI DEC 2006|882 352 838,00|735 294 000,00
16415600|Emp.BEI JUIN 2007|3 281 250 000,00|3 281 250 000,00
16415700|Emp.BEI NOV 2008|4 687 500 000,00|3 906 250 000,00
16415900|Emp.Bq-.Part à -1 an|12 819 656 000,00|12 841 967 250,00
16612460|Emp.FCP.2,5Me 12/09|126 000 000,00|189 000 000,00
16752000|Créanc.Collec.Locale|63 647 500,00|95 471 250,00
16752099|CréancColl.Locale CT|95 471 250,00|63 647 500,00
16884910|Int/Emp.oct. 2001|515 068 198,50|1 983 818 198,50
16884912|Int/SWAP-10/01-12330|469 870 610,00|133 562 068,50
16884920|Int/Emp.BEI 03/2002|17 420 398,00|30 043 994,50
16884930|Int/Emp.BEI 12/2002|15 337 429,00|26 512 402,50
16884939|Int/SWAP.BEI 03/2003|494 564 652,50|502 448 298,50
16884940|Int/Emp.BEI 03/2003|722 312 500,00|722 312 500,00
16884941|Int/Emp.BEI 12/2004|52 213 055,00|91 252 499,00
16884942|Int/Emp.BEI 12/2005|1 870 533 172,00|2 215 833 485,00
16884943|Int/Emp.BEI 12/2006|528 934 004,00|778 530 735,50
16884944|Int/Emp.BEI 06/2007|534 474 062,50|979 682 812,50
16884945|Int/Emp.BEI 11/2008|805 631 424,00|1 653 352 779,50
16884950|Int/Emp. avril 2003|2 649 451 851,50|4 224 451 851,50
16884951|Int/SWAP-04/03-SG510|840 262 264,00|409 685 319,50
16884952|Int/SWAP-04/03-BNP|839 584 486,50|409 514 486,50
16884953|Int/SWAP-04/03-SG555|860 595 597,00|414 810 319,50
16884954|Int/SWAP-04/03-CLY31|358 629 429,50|728 306 374,00
16884955|Int/SWAP-04/03-BNP75|358 542 431,50|727 812 431,50
16884956|Int/SWAP-04/03-NAT8N|350 927 580,00|720 512 857,50
16884957|Int/SWAP-BEI 11/2008|1,00|1,00
16884959|Int/SWAP Avril 2010|1 652 203 578,50|1 203 711 501,00
16884960|Int/Emp. mai 2006|4 083 561 643,00|6 833 561 643,00
16884964|INT S/ SWAP-07/10-SG|654 846 922,50|384 241 093,00
16884990|ICNE Crédit Syndiqué|13 197 917,00|46 836 806,00
16886800|Int/E.FCP 1,5Me 5/14|2 581 335,00|4 461 472,50
16886900|Int/Emp.FCP 05 2013|74 960 897,00|73 259 899,00
16887410|Int/Emp.FCP 04/2004|3,50|3,50
16887420|Int/Emp.FCP 04/2005|66,00|66,00
16887430|Int/Emp.FCP 04/2006|4 145 785,00|4 145 785,00
16887440|Int/Emp.FCP 04/2007|5 568 495,50|5 568 495,50
16887450|Int/Emp.FCP 04/2008|11 373 287,00|11 373 287,00
16887460|Int/Emp.FCP 12/2009|359 589,50|359 589,50
16887470|Int/Emp.FCP 04/2009|8 089 365,00|8 866 079,50
16887480|Int/Emp.FCP 04/2010|1 440 154,50|1 440 154,50
16887482|INT. / EMP. FCP 5/10|13 731 165,00|13 731 165,00
16887483|INT. / EMP. FCP 4/11|14 593 150,00|14 593 150,00
16887484|INT. / EMP. FCP 4/12|9 205 483,50|9 205 483,50
16887485|Int/Emp.FCP 05/2011|6 151 378,50|8 648 878,50
16887486|Int/Emp.FCP 05/2012|4 465 514,00|9 628 264,00
23199998|ACOMPTE IMMO|57 553 322,50|6 229 352,00
23199999|cpte Technique IMMO|168 993 930,50|217 765 471,00
28215000|Amort. caducité|15 584 111 400,00|26 042 936 400,00
29182000|Dép.Im.corporelles|2 541 167,00|0,00
32110099|ESTIME Stoc.Chl.&sel|0,00|44 409 650,00
32210099|ESTIME Stoc.PDTS PET|0,00|3 191 250,00
40810000|FAR Charges HG|323 409 739,00|404 022 598,00
40810100|FAR Charges Groupe|82 169 781,00|90 464 365,50
40811000|FAR- EM/EF|200 268,00|199 267,00
40841000|PROVISION SUR FAR|377 739 663,50|430 420 907,50
40841110|FAR Immos HG|200 802 725,00|187 114 366,00
40841120|FAR Immos Groupe|205 761 131,00|236 451 144,50
41113100|Dépôt  Cautions clés|100 000,00|375 000,00
41113400|Dépôt  Cautions IDF|125 000,00|1 075 000,00
41113600|Dépôt  Cautions SVL|1 225 000,00|0,00
41812000|Factures à établir|25 271 506 827,50|25 258 337 088,00
42111000|Rémunérations dues|14 238 742,00|0,00
42611000|Plan d'Epargne|105 081,00|1 214 502,00
42841000|Prov.participat.Sal.|14 559,00|0,00
43111000|URSSAF (Sté.Sle.)|262 703,50|34 109 359,50
43773000|Cotisation-FT SOCIAL|33 987 976,00|0,00
43781000|ANCV Chèq.Vacances|9 743 650,00|0,00
43782000|RATP|923 335,00|923 335,00
43783000|CESU|0,00|923 335,00
43864000|Ch.à Pay.Organic|311 521 015,00|408 596 850,00
44412000|CH.A PAYER IS|18 460 650,00|0,00
44415000|Impôt s/Bénéfices|25 629 875 650,00|36 225 900 000,00
44415100|Impôts différés|324 196 000,00|178 737 800,00
44551000|TVA à décaisser|10 693 942 386,00|25 275 582,50
44562022|TVA DEBITs/immo.20%|0,00|6 500,00
44566019|TVA Biens/Serv.(19,6|0,00|48 510,00
44566020|TVA DED DEBIT B&S20%|1 299 511,50|319 780,00
44571018|TVA coll.19,60 Péag.|93 187,50|465 450,00
44571019|TVA coll.19,60|0,00|1 044 942,00
44571029|TVA coll.s/enc. 19,6|1 044 942,00|0,00
44571120|TVA coll.dbt 20%Péag|1 470 310,00|26 746 193,00
44571121|TVA coll. débit 20%|0,00|237 500,00
44571131|TVA coll.s/enc. 20%|237 500,00|0,00
44586050|TVA//sur FAR|794 845 720,00|749 258 324,00
44587000|TVA/Fact.à établir|4 193 650 513,00|4 196 545 154,50
44732000|Taxe Prof./CET|4 575 549 000,00|6 349 916 550,00
44732500|Taxe foncieres|58 500 000,00|93 324 200,00
44732600|Taxe TLE|0,00|653 000,00
44741000|Taxes/véh. Société|13 000 000,00|20 472 100,00
44861000|Etat : TVA à payer|2 211 626 729,50|16 695 399 044,50
45101000|Cofiroute participat|50 262 400,00|0,00
45102000|S.P.T.F.|0,00|876 800,00
45701000|Dividendes à payer|0,00|6 676 258 820,00
46706100|Liber'T-ASF Factur.|0,00|9 091 929,00
46861100|Charges à payer -|78 473 427,00|62 122 777,00
46871000|Produits à recevoir|77 887 722,50|0,00
48601000|Charg.const.d'avance|3 361 878 974,00|3 356 858 015,00
48602000|Ch.Financ.const.av.|28 259 830,00|204 936 795,50
48701000|Prod.constat.avance|800 477 598,00|784 066 861,50
48702000|Prod.Financ.const.av|311 527 919,00|42 715 412,00
49102010|Prov.clients douteux|3 051 936,50|301 154 536,50
50811100|Autres Val. mobilièr|55 448 575,00|49 571 669,50
50811200|COMPTE DEPOT A T. IG|679 464 640,00|648 589 362,00
51110612|V.E.-Sté.Gén.Rennes|4 596 970,00|0,00
51115612|A/V.dev.Sté.Gl.Renne|1 400,00|0,00
51115680|A/V.dev.Sté.Gl.Orl.|0,00|77 774,50
51120612|R.C.-Sté.Gén.Rennes|28 410,00|0,00
51120621|R.C.-Sté.Gén.Bourg.|11 870,00|0,00
51120670|R.C.-Sté.Gén.LeMans|1 315,00|0,00
51120690|R.C.-Sté.Gén.Tours|19 330,00|0,00
51125100|C.P.-BNP-PAR.Kléber|0,00|14 238 742,00
51125790|CHQ PAYE BNP TOURS|0,00|18 505,00
51146600|Tr.Etr.-S.G. Paris|0,00|3 800,00
53600100|Recettes CB CM|7 184 210,00|0,00
58018210|Sortie FDR VAIGES|0,00|35 710,00
58018230|Sortie FDR LAVAL EST|0,00|86 320,00
58018250|Sortie FDR LAVAL OUE|0,00|56 180,00
58018270|Sortie FDR LA GRAVEL|0,00|513 605,00
58103000|Vrts.de fonds|21 795,00|21 795,00
60321199|Vt.Stk.Chlo.calc.liq|44 409 650,00|0,00
60322299|Vt.Stk.Pr..pétrolier|3 191 250,00|0,00
60612000|Electricité|0,00|379 695,00
60621800|GAZOLE NS/ TVA 80%|27 307,50|0,00
60631000|Pièc.Rech.Mat.Roult.|48 200,00|0,00
60631900|Autr.Pièc.Rechange|143 620 000,00|139 769 250,00
60632000|Petit outil.atel.V-S|164 767,50|0,00
60633000|Sign.Sécurit.Viabil.|117 516,00|0,00
60633500|Sign.verticale.temp.|10 000,00|0,00
60634000|Fourniture entretien|45 161,50|0,00
60635000|Vêtement trav.n.stoc|76 110,00|0,00
60636000|Fourniture bâtiment|182 282,50|0,00
60637000|Fourniture Péage|32 672 200,00|0,00
60638100|CERT. DE PASSAGE|196 350,00|0,00
60638200|IMPRIMES PEAGE|0,00|57 750,00
60638300|Ptes four.péage|9 125,00|138 600,00
60641000|Papier repro|0,00|132 600,00
60642000|Fourniture hs.papier|1 299 953,00|33 630,00
60642100|Autre Fournit. : NDF|0,00|55 025,00
60643000|Mat.Mob.Bur.pet.val.|0,00|160 500,00
60686000|Autres Fournitures|823 137,50|0,00
61321000|Loyers immeuble|644 076,00|11 255 328,00
